,country,GA_FA,revision_id,article_quality,page,Population mid-2018 (millions),frequency,articles-per-population-percentage,high-quality-percentage
23423,Mexico,9,757217372,Stub,Silvia López Scoffie,130.8,1077,0.000823394495412844,0.8356545961002786
23424,Mexico,9,757217378,Stub,Silvia Monge Villalobos,130.8,1077,0.000823394495412844,0.8356545961002786
23425,Mexico,9,757217388,Stub,Silvia Márquez Velasco,130.8,1077,0.000823394495412844,0.8356545961002786
23426,Mexico,9,757217391,Stub,Silvia Oliva Fragoso,130.8,1077,0.000823394495412844,0.8356545961002786
23427,Mexico,9,757217394,Stub,Silvia Puppo Gastélum,130.8,1077,0.000823394495412844,0.8356545961002786
23428,Mexico,9,757217396,Stub,Silvia Pérez Ceballos,130.8,1077,0.000823394495412844,0.8356545961002786
23429,Mexico,9,757217402,Stub,Silvia Álvarez Bruneliere,130.8,1077,0.000823394495412844,0.8356545961002786
23430,Mexico,9,757217422,Stub,Socorro Quintana León,130.8,1077,0.000823394495412844,0.8356545961002786
23431,Mexico,9,757217443,Stub,Soledad Limas Frescas,130.8,1077,0.000823394495412844,0.8356545961002786
23432,Mexico,9,757217447,Stub,Soledad López Torres,130.8,1077,0.000823394495412844,0.8356545961002786
23433,Mexico,9,757217455,Stub,Sonia Catalina Mercado,130.8,1077,0.000823394495412844,0.8356545961002786
23434,Mexico,9,757217459,Stub,Sonia Rincón Chanona,130.8,1077,0.000823394495412844,0.8356545961002786
23435,Mexico,9,757217463,Stub,Sonia del Villar Sosa,130.8,1077,0.000823394495412844,0.8356545961002786
23436,Mexico,9,757217472,Stub,Soraya Córdova,130.8,1077,0.000823394495412844,0.8356545961002786
23437,Mexico,9,757217479,Stub,Sue Ellen Bernal,130.8,1077,0.000823394495412844,0.8356545961002786
23438,Mexico,9,757217488,Stub,Susana Hurtado Vallejo,130.8,1077,0.000823394495412844,0.8356545961002786
23439,Mexico,9,757217492,Stub,Susana Monreal Ávila,130.8,1077,0.000823394495412844,0.8356545961002786
23440,Mexico,9,757217498,Stub,Susana Stephenson,130.8,1077,0.000823394495412844,0.8356545961002786
23441,Mexico,9,757217506,Stub,Tania Morgan Navarrete,130.8,1077,0.000823394495412844,0.8356545961002786
23442,Mexico,9,757217508,Stub,Tanya Rellstab Carreto,130.8,1077,0.000823394495412844,0.8356545961002786
23443,Mexico,9,757217510,Stub,Teresa Alcocer y Gasca,130.8,1077,0.000823394495412844,0.8356545961002786
23444,Mexico,9,757217513,Stub,Teresa Incháustegui,130.8,1077,0.000823394495412844,0.8356545961002786
23445,Mexico,9,757217520,Stub,Teresa Ortuño Gurza,130.8,1077,0.000823394495412844,0.8356545961002786
23446,Mexico,9,757217523,Stub,Teresa Reyes Sahagún,130.8,1077,0.000823394495412844,0.8356545961002786
23447,Mexico,9,757217526,Stub,Teresita de Jesús Borges,130.8,1077,0.000823394495412844,0.8356545961002786
